planner,env_seed,run,seed,obstacle_seed,resample_attempt,termination_mode,time_limit_per_leg,success,solve_time_s,simplify_time_s,total_time_s,total_length_se3,total_length_xyz
RRTstar,2,14,226345,2000000,0,first_solution,1.000,1,5.001618,0.000565,5.002182,28.249759,24.534021
BITstar,2,14,226345,2000000,0,first_solution,1.000,1,3.015798,0.000633,3.016431,29.564511,24.226013
RRTConnect,2,15,227345,2000000,0,first_solution,1.000,1,0.001091,0.000695,0.001787,32.091929,27.189936
PRMstar,2,15,227345,2000000,0,first_solution,1.000,1,5.006841,0.009404,5.016246,27.503747,25.052178
RRTstar,2,15,227345,2000000,0,first_solution,1.000,1,5.001023,0.000580,5.001603,28.022654,24.392423
BITstar,2,15,227345,2000000,0,first_solution,1.000,1,3.018591,0.009215,3.027806,26.997935,24.430580
RRTConnect,2,16,228345,2000000,0,first_solution,1.000,1,0.001013,0.000978,0.001991,40.795405,31.649715
PRMstar,2,16,228345,2000000,0,first_solution,1.000,1,5.006932,0.000557,5.007488,27.992259,24.298288
RRTstar,2,16,228345,2000000,0,first_solution,1.000,1,5.001768,0.000474,5.002242,26.411574,24.413865
BITstar,2,16,228345,2000000,0,first_solution,1.000,1,3.145059,0.000509,3.145568,26.565492,24.322123
RRTConnect,2,17,229345,2000000,0,first_solution,1.000,1,0.000922,0.000911,0.001833,33.060598,25.826278
PRMstar,2,17,229345,2000000,0,first_solution,1.000,1,5.007320,0.000525,5.007845,29.591287,25.331992
RRTstar,2,17,229345,2000000,0,first_solution,1.000,1,5.001697,0.000359,5.002056,27.555749,24.750506
BITstar,2,17,229345,2000000,0,first_solution,1.000,1,3.062021,0.000526,3.062548,27.246973,24.374116
RRTConnect,2,18,230345,2000000,0,first_solution,1.000,1,0.002301,0.001170,0.003471,38.012894,31.162861
PRMstar,2,18,230345,2000000,0,first_solution,1.000,1,5.007664,0.000503,5.008167,27.315002,24.337653
RRTstar,2,18,230345,2000000,0,first_solution,1.000,1,5.002100,0.000552,5.002652,27.223022,24.277907
BITstar,2,18,230345,2000000,0,first_solution,1.000,1,3.044990,0.000605,3.045595,27.318787,24.345922
RRTConnect,2,19,231345,2000000,0,first_solution,1.000,1,0.002686,0.000945,0.003631,32.550238,26.490694
PRMstar,2,19,231345,2000000,0,first_solution,1.000,1,5.006862,0.000376,5.007238,27.808879,24.501545
RRTstar,2,19,231345,2000000,0,first_solution,1.000,1,5.009471,0.000617,5.010088,28.798484,24.075346
BITstar,2,19,231345,2000000,0,first_solution,1.000,1,3.003668,0.000459,3.004128,27.575099,24.486853
RRTConnect,3,0,312345,3000000,0,first_solution,1.000,1,0.003079,0.000680,0.003759,37.428691,33.124342
PRMstar,3,0,312345,3000000,0,first_solution,1.000,1,5.007061,0.000185,5.007246,25.968517,24.995719
RRTstar,3,0,312345,3000000,0,first_solution,1.000,1,5.001416,0.000271,5.001687,25.533043,24.955896
BITstar,3,0,312345,3000000,0,first_solution,1.000,1,1.033177,0.000166,1.033343,25.954200,24.981283
RRTConnect,3,1,313345,3000000,0,first_solution,1.000,1,0.001433,0.000633,0.002066,27.474806,24.667472
PRMstar,3,1,313345,3000000,0,first_solution,1.000,1,5.007811,0.000188,5.007999,26.420461,24.766313
RRTstar,3,1,313345,3000000,0,first_solution,1.000,1,5.002070,0.000432,5.002502,25.782260,24.901970
BITstar,3,1,313345,3000000,0,first_solution,1.000,1,1.000276,0.000191,1.000467,26.295657,24.671751
